Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent
21941-21970,RB,Doug,Doug Martin,Martin,8.733333588,6,6100,TB@MIA,TB,MIA
21941-33463,QB,Paxton,Paxton Lynch,Lynch,9.793333054,3,6100,CIN@DEN,DEN,CIN
21941-14344,QB,T.J.,T.J. Yates,Yates,0,0,6000,ARI@HOU,HOU,ARI
21941-29715,QB,Kevin,Kevin Hogan,Hogan,9.694999695,4,6000,JAC@CLE,CLE,JAC
21941-24607,QB,Chad,Chad Kelly,Kelly,0,0,6000,CIN@DEN,DEN,CIN
21941-62497,RB,David,David Johnson,Johnson,10,1,6000,ARI@HOU,ARI,HOU
21941-30761,QB,Nathan,Nathan Peterman,Peterman,7.159999847,1,6000,BUF@LAC,BUF,LAC
21941-42028,WR,Will,Will Fuller V,Fuller V,14,6,6000,ARI@HOU,HOU,ARI
21941-24641,WR,Sammy,Sammy Watkins,Watkins,7.966666328,9,6000,LAR@MIN,LAR,MIN
21941-30788,QB,Tyler,Tyler Bray,Bray,0,0,6000,KC@NYG,KC,NYG
21941-53331,QB,Taylor,Taylor Heinicke,Heinicke,0,0,6000,NE@OAK,NE,OAK
21941-57439,QB,Patrick,Patrick Mahomes II,Mahomes II,0,0,6000,KC@NYG,KC,NYG
21941-7283,WR,Jeremy,Jeremy Maclin,Maclin,8.928571429,7,6000,BAL@GB,BAL,GB
21941-27801,QB,Nate,Nate Sudfeld,Sudfeld,0,0,6000,PHI@DAL,PHI,DAL
21941-11500,QB,Colt,Colt McCoy,McCoy,0,0,6000,WAS@NO,WAS,NO
21941-31047,QB,AJ,AJ McCarron,McCarron,0,0,6000,CIN@DEN,CIN,DEN
21941-27982,QB,Jake,Jake Rudock,Rudock,0,0,6000,DET@CHI,DET,CHI
21941-11615,QB,Joe,Joe Webb,Webb,0.114285716,7,6000,BUF@LAC,BUF,LAC
21941-22894,QB,Kellen,Kellen Moore,Moore,0,0,6000,PHI@DAL,DAL,PHI
21941-25969,QB,Tom,Tom Savage,Savage,4.019999981,4,6000,ARI@HOU,HOU,ARI
21941-24949,QB,EJ,EJ Manuel,Manuel,7.550000191,2,6000,NE@OAK,OAK,NE
21941-31170,QB,Brandon,Brandon Allen,Allen,0,0,6000,LAR@MIN,LAR,MIN
21941-45565,QB,Taysom,Taysom Hill,Hill,0,0,6000,WAS@NO,NO,WAS
21941-28163,QB,Connor,Connor Cook,Cook,7,1,6000,NE@OAK,OAK,NE
21941-22027,QB,Nick,Nick Foles,Foles,-0.449999988,2,6000,PHI@DAL,PHI,DAL
21941-39454,QB,Zac,Zac Dysert,Dysert,0,0,6000,PHI@DAL,DAL,PHI
21941-6687,QB,Mark,Mark Sanchez,Sanchez,0.75999999,2,6000,DET@CHI,CHI,DET
21941-30253,QB,Jeff,Jeff Driskel,Driskel,0,0,6000,CIN@DEN,CIN,DEN
21941-29249,RB,C.J.,C.J. Anderson,Anderson,9.033333672,9,6000,CIN@DEN,DEN,CIN
21941-22113,RB,Alfred,Alfred Morris,Morris,2.614285605,7,6000,PHI@DAL,DAL,PHI
21941-8803,QB,Chase,Chase Daniel,Daniel,-0.200000003,1,6000,WAS@NO,NO,WAS
21941-6808,QB,Matt,Matt Moore,Moore,9.779999733,2,6000,TB@MIA,MIA,TB
21941-7844,QB,Chad,Chad Henne,Henne,-0.300000012,1,6000,JAC@CLE,JAC,CLE
21941-44715,QB,Cooper,Cooper Rush,Rush,1.379999995,1,6000,PHI@DAL,DAL,PHI
21941-7872,QB,Brian,Brian Hoyer,Hoyer,9.711429051,7,6000,NE@OAK,NE,OAK
